sno,technology,slug,category,category_slug,companies,jobs,url
2753,Aws Firewall Manager,aws-firewall-manager,IT Security,it-security,421,899,https://theirstack.com/en/technology/aws-firewall-manager
2754,Aws For Sap,aws-for-sap,Platform And Storage,platform-and-storage,17k,82k,https://theirstack.com/en/technology/aws-for-sap
2755,Aws Fraud Detector,aws-fraud-detector,IT Security,it-security,20,34,https://theirstack.com/en/technology/aws-fraud-detector
2756,Aws Global Accelerator,aws-global-accelerator,Platform And Storage,platform-and-storage,321,756,https://theirstack.com/en/technology/aws-global-accelerator
2757,Aws Glue,aws-glue,Business Intelligence And Analytics,business-intelligence-and-analytics,21k,88k,https://theirstack.com/en/technology/aws-glue
2758,Aws Glue Databrew,aws-glue-databrew,Business Intelligence And Analytics,business-intelligence-and-analytics,84,152,https://theirstack.com/en/technology/aws-glue-databrew
2759,Aws Govcloud,aws-govcloud,Platform And Storage,platform-and-storage,2.9k,13k,https://theirstack.com/en/technology/aws-govcloud
2760,Aws Greengrass,aws-greengrass,Business Intelligence And Analytics,business-intelligence-and-analytics,606,1.3k,https://theirstack.com/en/technology/aws-greengrass
2761,Aws Healthomics,aws-healthomics,Health Tech,health-tech,29,65,https://theirstack.com/en/technology/aws-healthomics
2762,Aws Iam,aws-iam,IT Security,it-security,31k,114k,https://theirstack.com/en/technology/aws-iam
2763,Aws Identity And Access Management Iam,aws-identity-and-access-management-iam,IT Security,it-security,14k,47k,https://theirstack.com/en/technology/aws-identity-and-access-management-iam
2764,Aws Import Export,aws-import-export,Marketing,marketing,12,21,https://theirstack.com/en/technology/aws-import-export
2765,Aws Importexport Snowball,aws-importexport-snowball,Platform And Storage,platform-and-storage,0,0,https://theirstack.com/en/technology/aws-importexport-snowball
2766,Aws Inferentia,aws-inferentia,Business Intelligence And Analytics,business-intelligence-and-analytics,119,1.3k,https://theirstack.com/en/technology/aws-inferentia
2767,Aws Iot,aws-iot,IT Security,it-security,82k,478k,https://theirstack.com/en/technology/aws-iot
2768,Aws Iot Analytics,aws-iot-analytics,Business Intelligence And Analytics,business-intelligence-and-analytics,286,2.1k,https://theirstack.com/en/technology/aws-iot-analytics
2769,Aws Iot Button,aws-iot-button,Business Intelligence And Analytics,business-intelligence-and-analytics,2,4,https://theirstack.com/en/technology/aws-iot-button
2770,Aws Iot Core,aws-iot-core,Business Intelligence And Analytics,business-intelligence-and-analytics,2k,4.1k,https://theirstack.com/en/technology/aws-iot-core
2771,Aws Iot Device Defender,aws-iot-device-defender,IT Security,it-security,18,31,https://theirstack.com/en/technology/aws-iot-device-defender
2772,Aws Iot Device Management,aws-iot-device-management,Business Intelligence And Analytics,business-intelligence-and-analytics,53,115,https://theirstack.com/en/technology/aws-iot-device-management
2773,Aws Iot Events,aws-iot-events,Business Intelligence And Analytics,business-intelligence-and-analytics,74,135,https://theirstack.com/en/technology/aws-iot-events
2774,Aws Iot Greengrass,aws-iot-greengrass,Business Intelligence And Analytics,business-intelligence-and-analytics,224,494,https://theirstack.com/en/technology/aws-iot-greengrass
2775,Aws Iot Sitewise,aws-iot-sitewise,Business Intelligence And Analytics,business-intelligence-and-analytics,32,59,https://theirstack.com/en/technology/aws-iot-sitewise
2776,Aws Key Management Service Kms,aws-key-management-service-kms,IT Security,it-security,333,666,https://theirstack.com/en/technology/aws-key-management-service-kms
2777,Aws Kms,aws-kms,IT Security,it-security,385,863,https://theirstack.com/en/technology/aws-kms
2778,Aws Lake Formation,aws-lake-formation,Platform And Storage,platform-and-storage,2.1k,5.1k,https://theirstack.com/en/technology/aws-lake-formation
2779,Aws Lambda,aws-lambda,Programming Languages And Frameworks,programming-languages-and-frameworks,57k,288k,https://theirstack.com/en/technology/aws-lambda
2780,Aws Lambdaedge,aws-lambdaedge,Devops And Development,devops-and-development,203,442,https://theirstack.com/en/technology/aws-lambdaedge
2781,Aws Managed Services,aws-managed-services,Devops And Development,devops-and-development,39k,235k,https://theirstack.com/en/technology/aws-managed-services
2782,Aws Management Console,aws-management-console,Customer Management,customer-management,2.8k,7.2k,https://theirstack.com/en/technology/aws-management-console
2783,Aws Mediaconnect,aws-mediaconnect,Devops And Development,devops-and-development,78,307,https://theirstack.com/en/technology/aws-mediaconnect
2784,Aws Migration Hub,aws-migration-hub,Platform And Storage,platform-and-storage,319,647,https://theirstack.com/en/technology/aws-migration-hub
2785,Aws Mobile Hub,aws-mobile-hub,Programming Languages And Frameworks,programming-languages-and-frameworks,31,75,https://theirstack.com/en/technology/aws-mobile-hub
2786,Aws Mobile Services,aws-mobile-services,Programming Languages And Frameworks,programming-languages-and-frameworks,3.7k,17k,https://theirstack.com/en/technology/aws-mobile-services
2787,Aws Multi Factor Authentication,aws-multi-factor-authentication,IT Security,it-security,14k,44k,https://theirstack.com/en/technology/aws-multi-factor-authentication
2788,Aws Network Firewall,aws-network-firewall,IT Security,it-security,2.5k,5.9k,https://theirstack.com/en/technology/aws-network-firewall
2789,Aws Nice Dcv,aws-nice-dcv,HR,hr,43,71,https://theirstack.com/en/technology/aws-nice-dcv
2790,Aws Nitro System,aws-nitro-system,Platform And Storage,platform-and-storage,14,201,https://theirstack.com/en/technology/aws-nitro-system
2791,Aws Opswork,aws-opswork,Devops And Development,devops-and-development,263,666,https://theirstack.com/en/technology/aws-opswork
